Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis
Q17919,Charles Prosper Wolff Schoemaker,"Dutch architect (1882-1949), active in Bandung, Indonesia"
Q679059,Law Adam,Dutch footballer (1908-1941)
Q2997852,Muhammad Rachman,Indonesian boxer
Q2096629,Theys Hiyo Eluay,politisi Indonesia
Q2249375,Soetomo,Pahlawan Revolusi Kemerdekaan
Q539542,Sririta Jensen,Thai model
Q1442321,Franciscus Kopong Kung,21st-century Indonesian Catholic bishop
Q1700309,Pius Riana Prapdi,Indonesian bishop
Q2526775,Vincentius Sensi Potokota,21st-century Indonesian Catholic archbishop
Q2944547,Alexander Aan,Indonesian atheist and prisoner
Q3177695,Tommy Soeharto,Politikus dan pengusaha Indonesia
Q3847849,Dede Supriatna,
Q4973876,Kamidia Radisti,pemeran perempuan asal Indonesia
Q12494860,Lilis Suryani,penyanyi Indonesia
Q11774724,Nana Lee,pemeran perempuan asal Indonesia
Q12514086,Shandy Aulia,pemeran perempuan asal Indonesia
Q12497727,Medina Warda Aulia,pecatur putri asal Indonesia
Q18558886,Ruselli Hartawan,pemain bulu tangkis asal Indonesia
Q5447406,Fifi Young,pemeran perempuan asal Indonesia
Q20880258,Frans Mohede,penyanyi dan pemeran laki-laki asal Indonesia
Q275463,Sandra Dewi,pemeran perempuan asal Indonesia
Q2343180,Frits Ruimschotel,Dutch water polo player (1922-1987)
Q1521256,Umar Kayam,pemeran laki-laki asal Indonesia
Q2603618,Siswondo Parman,pahlawan nasional Indonesia
Q3107476,Juwono Sudarsono,politisi Indonesia
Q4187311,Emil Salim,ekonom dan politisi senior Indonesia
Q4263863,Cerdas Barus,Indonesian chess player
Q43131822,Abdul Somad Batubara,pendakwah dan ulama asal Indonesia
Q1179734,Muhammad Balfas,author
Q1279930,Moreno Soeprapto,Mantan pembalap mobil profesional asal Indonesia
Q1392988,Fauzi Bowo,"Mantan Gubernur DKI Jakarta, Wakil Gubernur DKI Jakarta"
Q2060158,Adriaan Maas,Olympic sailor
Q2603600,Pierre Tendean,pahlawan nasional Indonesia
Q3793280,Reza Rahadian,pemeran laki-laki asal Indonesia
Q3958239,Cut Tari,pemeran perempuan asal Indonesia
Q4198154,Indra Lesmana,Musisi jazz Indonesia
Q4199003,Sjumandjaja,pemeran laki-laki asal Indonesia
Q4199390,Tora Sudiro,pemeran laki-laki asal Indonesia
Q4201152,Nia Dinata,sutradara film asal Indonesia
Q11036795,Joko Anwar,sutradara asal Indonesia
Q4251025,Titi DJ,Penyanyi asal Indonesia
Q4311053,Adia Chan,Hong Kong actress and singer
Q4382677,Maya Soetoro-Ng,teacher and half-sister of Barack Obama
Q5025906,Camelia Malik,penyanyi Indonesia
Q5068119,Chairul Tanjung,pengusaha dan birokrat Indonesia
