Q60444872,Leani Ratri Oktila
Q3243319,Imam Samudera
Q7538599,Slamet Rahardjo
Q7475753,Deddy Corbuzier
Q7476209,Mikha Tambayong
Q468536,Maria Febe Kusumastuti
Q20852575,Gregoria Mariska Tunjung
Q11188587,Ferdinand Lumbantobing
Q20448002,Temenggong Daeng Ibrahim
Q255485,Alexander Djajasiswaja
Q736964,Pakubuwana VII
Q1903767,Pakubuwana II
Q2009448,Pakubuwana VIII
Q2439218,Pakubuwana I
Q4201845,Samanhudi
Q983462,Muhammad Rizal
Q4673827,Ahmad Jufrianto
Q26250635,Dewi Yuliawati
Q463102,Fung Permadi
Q961729,Christian Hadinata
Q28723650,Budi Karya Sumadi
Q4261370,Rohana Kudus
Q12521725,Tjahjo Kumolo
Q5714052,Hendro Kartiko
Q5251570,Hanny R. Saputra
Q4764412,Ani Idrus
Q3282061,Djamaludin Malik
Q3745171,Wisran Hadi
Q5247076,Patrialis Akbar
Q2084739,Andik Vermansyah
Q2295835,Albert Snouck Hurgronje
Q16187798,Ki Sarmidi Mangunsarkoro
Q1308026,Rian Sukmawan
Q1510169,Gerard Pieter Adolfs
Q1985368,Daniel Sahuleka
Q2421736,Arnoud van der Biesen
Q2581141,Agung Laksono
Q2692550,Christel Adelaar
Q4201155,Tjipto Mangoenkoesoemo
Q4251398,Purnomo Yusgiantoro
Q477824,Amrozi bin Nurhasyim
Q12485004,Husein Mutahar
Q4754301,Andesi Setyo Prabowo
Q15882855,Thilly Weissenborn
Q49250207,Muladi
Q12472161,Anie Carera
Q12485440,Hatna Danarda
Q19744918,Via Vallen
Q5518589,Galih Firmansyah
Q8995080,Mochtar Riady
Q317627,Abdullah Gymnastiar
Q355045,Iie Sumirat
Q398733,Agus R. Sarjono
Q532902,Fred Klein
Q718094,Aryono Miranat
Q24952574,Henricus Pidyarto Gunawan
Q129689,Soeroso
Q3243063,Bisma Karisma
Q3569429,Raden Aria Adipati Wiranatakoesoema
Q17410704,Masud Yunus
Q5562954,Ginandjar Kartasasmita
Q5928807,Raden Eddy Martadinata
Q6863762,Inka Christie
Q7108909,Oto Iskandar di Nata
Q7238716,Pratiwi Sudarmono
Q7530775,Sisca Jessica
Q7812944,Toeti Heraty
Q12484261,Glenn Victor Sutanto
Q2880471,Maria Dermoût
Q4256072,Aziz Sattar
Q17411464,Satyawati Suleiman
Q336993,Jan Hilgers
Q463390,Njoo Kiem Bie
Q520354,Utami Kinard
Q3244604,Rafael Landry Tanubrata
Q19354967,Fajar Alfian
Q6932756,Muhammad Taufiq
Q55520012,Christophorus Tri Harsono
Q56192251,Defia Rosmaniar
Q25463320,Intan Paramaditha
Q1988121,Wieteke van Dort
Q2056280,Astrid Ellena
Q2596070,Floris Arntzenius
Q2789459,Beatrix de Rijk
Q4200595,Didi Petet
Q7070166,Nurnaningsih
Q7443276,Sunan Bonang
Q7638798,Sunan Drajat
Q12485373,Hary Tanoesoedibjo
Q7478518,Vania Larissa
Q1172746,Datus Hilarion Lega
Q4252072,Amirmachmud
Q13462182,Ade Yusuf
Q347239,K.P.H. Notoprojo
Q519498,Finarsih
Q2591497,Paku Alam IX
Q4213590,Irwan Prayitno
Q5991107,Ifa Isfansyah
Q7281390,Radius Prawiro
Q25460365,Siti Noordjannah Djohantini
Q538958,Anggia Shitta Awanda
Q14917442,Rizky Pellu
Q827150,Berry Anggriawan
Q12515630,Sjarifuddin Baharsjah
Q1207254,Deyana Lomban
Q5239332,John Lie
Q12682432,Alexander Andries Maramis
Q95698344,Marie Thomas
Q2151902,Rie Cramer
Q12486225,Ibu Sud
Q5445518,Ferry Rotinsulu
Q66705695,Witan Sulaeman
